"gender","year","region","name","count"
"male",1995,"Brussels","Jeroen",5
"male",1995,"Brussels","Johnny",5
"male",1995,"Brussels","Juan",5
"male",1995,"Brussels","Karim",5
"male",1995,"Brussels","Ken",5
"male",1995,"Brussels","Killian",5
"male",1995,"Brussels","Marwan",5
"male",1995,"Brussels","Maxence",5
"male",1995,"Brussels","Melvin",5
"male",1995,"Brussels","Minh",5
"male",1995,"Brussels","Mustapha",5
"male",1995,"Brussels","Nicholas",5
"male",1995,"Brussels","Noé",5
"male",1995,"Brussels","Noureddine",5
"male",1995,"Brussels","Rémi",5
"male",1995,"Brussels","Ricardo",5
"male",1995,"Brussels","Sam",5
"male",1995,"Brussels","Sean",5
"male",1995,"Brussels","Soufian",5
"male",1995,"Brussels","Souhail",5
"male",1995,"Brussels","Stéphane",5
"male",1995,"Brussels","Timothée",5
"male",1995,"Brussels","Zacharia",5
"male",1996,"Brussels","Mohamed",135
"male",1996,"Brussels","Nicolas",97
"male",1996,"Brussels","Thomas",87
"male",1996,"Brussels","Alexandre",84
"male",1996,"Brussels","Kevin",78
"male",1996,"Brussels","Maxime",77
"male",1996,"Brussels","Dylan",70
"male",1996,"Brussels","Antoine",67
"male",1996,"Brussels","Julien",66
"male",1996,"Brussels","Mehdi",61
"male",1996,"Brussels","Ilias",57
"male",1996,"Brussels","Bryan",56
"male",1996,"Brussels","Bilal",54
"male",1996,"Brussels","David",54
"male",1996,"Brussels","Jonathan",51
"male",1996,"Brussels","Yassine",50
"male",1996,"Brussels","Guillaume",49
"male",1996,"Brussels","Sébastien",49
"male",1996,"Brussels","Anthony",48
"male",1996,"Brussels","Nathan",47
"male",1996,"Brussels","Younes",45
"male",1996,"Brussels","Quentin",43
"male",1996,"Brussels","Simon",43
"male",1996,"Brussels","Loïc",41
"male",1996,"Brussels","Soufiane",41
"male",1996,"Brussels","Arnaud",39
"male",1996,"Brussels","Hamza",39
"male",1996,"Brussels","Pierre",39
"male",1996,"Brussels","Benjamin",36
"male",1996,"Brussels","Arthur",34
"male",1996,"Brussels","Youssef",34
"male",1996,"Brussels","Michaël",33
"male",1996,"Brussels","Alexis",32
"male",1996,"Brussels","Louis",32
"male",1996,"Brussels","Ayoub",31
"male",1996,"Brussels","Mathieu",31
"male",1996,"Brussels","Adrien",30
"male",1996,"Brussels","Martin",30
"male",1996,"Brussels","Vincent",30
"male",1996,"Brussels","Samuel",29
"male",1996,"Brussels","Cédric",28
"male",1996,"Brussels","Romain",28
"male",1996,"Brussels","Robin",27
"male",1996,"Brussels","Zakaria",27
"male",1996,"Brussels","Anas",26
"male",1996,"Brussels","Raphaël",26
"male",1996,"Brussels","Laurent",25
"male",1996,"Brussels","Corentin",24
"male",1996,"Brussels","Victor",24
"male",1996,"Brussels","Ibrahim",23
"male",1996,"Brussels","Walid",23
"male",1996,"Brussels","Elias",22
"male",1996,"Brussels","Thibault",22
"male",1996,"Brussels","Charles",21
"male",1996,"Brussels","Diego",21
"male",1996,"Brussels","Jeremy",21
"male",1996,"Brussels","Yassin",21
"male",1996,"Brussels","Gabriel",20
"male",1996,"Brussels","Jason",20
"male",1996,"Brussels","Lucas",20
"male",1996,"Brussels","Daniel",19
"male",1996,"Brussels","François",19
"male",1996,"Brussels","Adam",18
"male",1996,"Brussels","Adil",18
"male",1996,"Brussels","Christopher",18
"male",1996,"Brussels","Lorenzo",18
"male",1996,"Brussels","Oussama",18
"male",1996,"Brussels","Ali",17
"male",1996,"Brussels","Florian",17
"male",1996,"Brussels","Ismaïl",17
"male",1996,"Brussels","Jawad",17
"male",1996,"Brussels","Jérôme",17
"male",1996,"Brussels","Ludovic",17
"male",1996,"Brussels","Olivier",17
"male",1996,"Brussels","Rayane",17
"male",1996,"Brussels","Sacha",17
"male",1996,"Brussels","Xavier",17
"male",1996,"Brussels","Gilles",16
"male",1996,"Brussels","Mohammed",16
"male",1996,"Brussels","Nabil",16
"male",1996,"Brussels","Amaury",15
"male",1996,"Brussels","Axel",15
"male",1996,"Brussels","Dorian",15
"male",1996,"Brussels","Gregory",15
"male",1996,"Brussels","Sami",15
"male",1996,"Brussels","Ahmed",14
"male",1996,"Brussels","Gaëtan",14
"male",1996,"Brussels","Hugo",14
"male",1996,"Brussels","Imad",14
"male",1996,"Brussels","Jérémy",14
"male",1996,"Brussels","Luca",14
"male",1996,"Brussels","Matthias",14
"male",1996,"Brussels","Michael",14
"male",1996,"Brussels","Tom",14
"male",1996,"Brussels","Brandon",13
"male",1996,"Brussels","Emre",13
"male",1996,"Brussels","Hicham",13
"male",1996,"Brussels","Jordan",13
"male",1996,"Brussels","Thibaut",13
"male",1996,"Brussels","Alessandro",12
"male",1996,"Brussels","Christophe",12
"male",1996,"Brussels","Ismail",12
"male",1996,"Brussels","Karim",12
"male",1996,"Brussels","Killian",12
"male",1996,"Brussels","Matteo",12
"male",1996,"Brussels","Redouane",12
"male",1996,"Brussels","Sabri",12
"male",1996,"Brussels","Samir",12
"male",1996,"Brussels","Adrian",11
"male",1996,"Brussels","Aurélien",11
"male",1996,"Brussels","Boris",11
"male",1996,"Brussels","Geoffrey",11
"male",1996,"Brussels","Ismaël",11
"male",1996,"Brussels","Issam",11
"male",1996,"Brussels","Marwane",11
"male",1996,"Brussels","Mathias",11
